Tool,Epoch,CVE-2016-4487,CVE-2016-4489,CVE-2016-4491,CVE-2016-4492,CVE-2016-4493,CVE-2016-6131
afl,0,29476.06387,20812.09341,,,,
afl,1,13924.73631,34530.89539,,26497.31731,,
afl,10,40760.64372,,,,,
afl,11,11357.33898,17334.20002,,,,
afl,12,,31642.07629,,,,
afl,13,61016.84419,45840.20880,,40411.28156,,
afl,14,,,,,,
afl,15,17512.60970,,,,,
afl,16,24350.29660,,,,,
afl,17,28472.36824,15437.33646,,32995.93689,,
afl,18,10348.85489,,,,,
afl,19,42757.20655,47917.16858,,45498.45279,,
afl,2,,15486.43686,,,,
afl,3,,,,,,
afl,4,,,,,,
afl,5,22393.83431,,,,,
afl,6,15986.65739,29648.19578,,,,
afl,7,23951.09832,,,,,
afl,8,03979.67762,30475.13021,,,,
afl,9,13956.01120,,,,,
aflpp,0,10014.85005,03909.98474,,,,
aflpp,1,08906.51648,02536.88585,,74665.24044,,
aflpp,10,05795.07504,06524.66469,37394.47981,,,
aflpp,11,03647.57797,01938.51096,,,,
aflpp,12,00244.86966,03527.04899,,,,39320.16987
aflpp,13,25009.66547,06095.15081,,35160.53243,,
aflpp,14,02280.72245,02550.93799,,,,
aflpp,15,05721.49816,08836.34779,,00807.85427,,
aflpp,16,01695.95361,00886.44024,,,,
aflpp,17,01722.95768,18831.84832,,03221.61611,,
aflpp,18,22107.42386,04180.16002,,,,
aflpp,19,00392.95459,02825.05395,,,,
aflpp,2,13476.51096,07944.03541,,,05146.57808,
aflpp,3,03513.33284,02361.92751,,,,
aflpp,4,01507.62175,25828.75139,32161.20733,,,
aflpp,5,01419.60864,01855.52640,,,,
aflpp,6,00198.41200,02967.44818,,,,
aflpp,7,01632.79756,04564.12940,,41263.64833,,
aflpp,8,00433.29187,20599.91228,,,,
aflpp,9,00591.38451,02412.67614,,,,
eclipser,0,02502.29329,80641.51939,,,,
eclipser,1,08403.63655,35647.58450,,,,
eclipser,10,06083.84258,01984.06723,,,,
eclipser,11,03296.98124,21265.86067,,,,
eclipser,12,22554.33650,00902.54859,,,,
eclipser,13,05661.62939,05644.63320,,,,
eclipser,14,04135.05535,04636.68233,,,,
eclipser,15,01365.68734,25526.83685,,,,
eclipser,16,06212.68026,10324.37403,,38151.19104,,
eclipser,17,31695.19576,05734.27019,,,,
eclipser,18,05794.09889,06504.56828,,,,
eclipser,19,02204.80942,62651.69554,,,,
eclipser,2,03626.44972,03250.14854,,,,
eclipser,3,10594.71001,13243.84248,,,,
eclipser,4,05025.50815,05315.36055,,,,
eclipser,5,01840.01419,07508.07879,,,,
eclipser,6,47761.77248,03575.82528,,03935.23691,,
eclipser,7,22511.49095,08975.99696,,,,
eclipser,8,03723.18659,02997.64854,,,,
eclipser,9,01418.54454,05208.84690,,,,
fuzzolic,0,14758.24955,09599.18700,,,,
fuzzolic,1,05107.78131,11229.38428,,,,
fuzzolic,10,02315.65469,03761.23085,,,,
fuzzolic,11,10529.07615,10459.64218,,,,
fuzzolic,12,03624.54554,04153.69550,,,,
fuzzolic,13,05757.53438,66896.53205,,44895.83358,,
fuzzolic,14,01453.84122,09229.37921,,,,
fuzzolic,15,01844.55004,08322.53990,31390.73726,,,
fuzzolic,16,06638.03007,38165.08295,,,,
fuzzolic,17,02497.00504,03770.41491,,,,
fuzzolic,18,03296.75712,08388.79624,,,,
fuzzolic,19,29502.26023,18273.30460,,,,
fuzzolic,2,07244.43487,24699.58194,,,,
fuzzolic,3,26465.48937,03523.62078,,,,
fuzzolic,4,11350.32664,12803.85389,,,,
fuzzolic,5,08586.35361,46231.39231,,,09362.18857,
fuzzolic,6,02736.36450,48737.53336,,,,
fuzzolic,7,06772.57203,05832.82331,,12008.32088,,
fuzzolic,8,10751.90989,09742.59917,,,,
fuzzolic,9,09693.37592,11769.10272,,,,
